word1,word2,word3,solution,solution_full
politie,vlucht,speelgoed,auto,auto
basket,school,sneeuw,bal,bal
tennis,gummi,kerst,bal,bal
kaart,biljet,rekening,bank,bank
spiegel,ideaal,televisie,beeld,beeld
maat,voetbal,drink,beker,beker
dorp,wei,top,berg,berg
kruis,regen,triomf,boog,boog
schutter,gewelf,spanning,boog,boog
palm,slag,stam,boom,boom
wandeling,brand,mier,bos,bos
weer,alarm,ladder,brand,brand
regen,spijker,kousen,broek,broek
pijn,vet,dans,buik,buik
programma,virus,cursus,computer,computer
brood,archief,muziek,doos,doos
analyse,slaap,vrouw,droom,droom
rol,personage,fragment,film,film
bord,lever,dons,ganzen,ganzen
neus,lucht,sleutel,gat,gat
jacht,lucht,machine,geweer,geweer
knie,oog,mond,holte,holte/hoek
hok,voer,weer,honden,honden
meloen,koek,bij,honing,honing
rust,bad,club,huis,huis
créme,machine,water,ijs,ijs
bureau,interim,vakantie,job,job/werk
hoef,wafel,krul,ijzer,ijzer
slaap,huis,operatie,kamer,kamer
vakantie,zomer,concentratie,kamp,kamp
kerst,adoptie,klein,kind,kind
wand,alarm,tijd,klok,klok
pauze,kop,boon,koffie,koffie
galerij,gras,geschiedenis,kunst,kunst
haar,nagel,hoogglans,lak,lak
heer,kaart,bouw,land,land
worm,bebouwing,meter,lint,lint
baan,schoen,training,loop,loop
vogel,kraaien,wespen,nest,nest
sjeik,platform,prijs,olie,olie
schaduw,arts,druppel,oog,oog
wereld,irak,burger,oorlog,oorlog
ontsteking,schelp,bel,oor,oor
windmolen,container,attractie,park,park
rust,zomer,koffie,pauze,pauze/huis
munt,molen,koek,peper,peper
motor,paarden,auto,race,race
bus,gids,bureau,reis,reis
worm,weer,ton,regen,regen
echt,vecht,haar,scheiding,scheiding
spook,stoom,zeil,schip,schip/boot
dating,vacature,internet,site,site
olie,kom,krop,sla,sla
vlok,machine,ketting,sneeuw,sneeuw
tijd,molen,groeve,steen,steen
schommel,rol,kerk,stoel,stoel
bier,kleed,tennis,tafel,tafel
vlees,pasta,arts,tand,tand
hand,heup,akte,tas,tas
paal,kabel,nummer,telefoon,telefoon
circus,festival,party,tent,tent
stuk,acteur,gezelschap,theater,theater/toneel
rozen,dieren,kruiden,tuin,tuin
muis,slag,weg,veld,veld
hoed,verf,afdruk,vinger,vinger
zoeker,afdruk,zool,voet,voet
kamp,haard,gas,vuur,vuur
sport,zit,vuilnis,zak,zak
dood,zee,wagen,ziek,ziek
wax,geur,houder,kaars,kaars
groep,druk,vat,bloed,bloed
uitslag,plooi,contact,huid,huid
hals,fiets,parel,ketting,ketting
bord,lepel,groenten,soep,soep
scherm,strik,deur,val,val
Frustration,Tension,Doubt,▪,▪
