subject;age;language;seks;solution_type;CRAT1;ACC_CRAT;CRAT_correct;subject_answer_CRAT;ACC_memory;memory_correct;subject_answer_memory;location;RT;confidence;load_condition;ACC_memory_all_correct
32800;19;Nederlands;female;1;stuk;1;theater;toneel;1;5237;7532;v;3008;87;2;1
32800;19;Nederlands;female;1;kerst;1;kind;kind;1;4756;7654;a;3769;100;2;1
32800;19;Nederlands;female;2;wax;1;Kaars;kaars;1;8975;9875;v;11053;81;2;1
32800;19;Nederlands;female;2;wandeling;1;bos;bos;1;9245;9542;v;12021;37;2;1
32800;19;Nederlands;female;1;schaduw;1;oog;oog;1;7289;9872;v;3804;83;2;1
32800;19;Nederlands;female;1;weer;1;brand;brand;1;7918;9871;v;2226;89;2;1
32800;19;Nederlands;female;2;hoef;0;ijzer;tang;1;4613;6421;a;5666;85;2;0
32800;19;Nederlands;female;1;haar;1;lak;lak;1;3172;7321;a;5575;89;2;1
32800;19;Nederlands;female;2;pijn;0;buik;verwerking;0;7936;7521;v;22365;4;2;0
32800;19;Nederlands;female;2;vlok;1;sneeuw;sneeuw;1;9786;9684;v;8873;78;2;0
32800;19;Nederlands;female;1;kaart;0;bank;houder;1;8354;8354;v;2232;78;2;1
32800;19;Nederlands;female;2;meloen;0;honing;fruit;1;6831;6831;v;19213;32;2;1
32800;19;Nederlands;female;2;rol;1;film;fil;1;5128;5128;v;8329;80;2;1
32800;19;Nederlands;female;1;windmolen;1;park;park;1;1935;9853;a;2078;90;2;0
32800;19;Nederlands;female;2;rust;1;pauze;pauze;0;2874;;a;5853;63;2;0
32800;19;Nederlands;female;1;slaap;1;kamer;kamer;1;1297;9718;a;6792;83;2;0
32800;19;Nederlands;female;2;créme;1;ijs;ijs;0;5649;96;v;6723;85;2;0
32800;19;Nederlands;female;1;politie;1;auto;auto;1;1452;5421;a;2122;86;2;1
32800;19;Nederlands;female;1;bord;1;ganzen;ganzen;1;6298;9862;v;6861;95;2;1
32800;19;Nederlands;female;2;zoeker;1;voet;voet;0;8715;9872;v;4852;74;2;0
32800;19;Nederlands;female;1;ontsteking;1;oor;oor;1;9385;9853;v;2165;97;2;1
32800;19;Nederlands;female;2;neus;1;gat;gat;1;3672;7632;a;7212;74;2;1
32800;19;Nederlands;female;1;pauze;1;koffie;koffie;0;9156;9;v;16410;90;2;0
32800;19;Nederlands;female;2;rozen;0;tuin;geur;1;3854;8534;a;10472;68;2;1
32800;19;Nederlands;female;2;knie;1;holte;hoek;1;2194;2184;a;4624;73;2;0
32800;19;Nederlands;female;1;programma;1;computer;cmputer;1;9862;9862;v;3403;91;2;1
32800;19;Nederlands;female;2;paal;1;telefoon;telefoon;1;7418;7418;v;7486;28;2;1
32800;19;Nederlands;female;1;hok;1;honden;honden;1;9864;9864;v;4952;69;2;1
32800;19;Nederlands;female;2;olie;1;sla;sla;0;8659;56;v;7284;32;2;0
32800;19;Nederlands;female;2;heer;1;land;land;1;8496;8496;v;5933;78;2;1
32800;19;Nederlands;female;2;worm;1;regen;regen;1;9835;9835;v;4858;78;2;1
32800;19;Nederlands;female;2;baan;1;loop;loop;1;9327;9372;v;7879;74;2;1
32800;19;Nederlands;female;1;munt;1;peper;peper;0;7689;789;v;9947;89;2;0
32800;19;Nederlands;female;2;wereld;1;oorlog;oorlog;1;3972;3872;a;3649;74;2;0
32800;19;Nederlands;female;2;tennis;1;bal;bal;0;4139;;a;8621;89;2;0
32800;19;Nederlands;female;2;kruis;1;boog;boog;1;3295;3275;a;3231;82;2;0
32800;19;Nederlands;female;2;kamp;1;vuur;vuur;0;1834;;a;5074;80;2;0
32800;19;Nederlands;female;1;galerij;1;kunst;kunst;1;5396;9673;v;7199;85;2;0
32800;19;Nederlands;female;1;spiegel;1;beeld;beeld;0;4657;67;a;3368;91;2;0
32800;19;Nederlands;female;1;basket;1;bal;bal;0;4825;9875;a;2051;83;2;0
32905000;19;Nederlands;female;2;regen;1;broek;broek;1;1756;5671;a;7537;42;2;1
32905000;19;Nederlands;female;1;hoef;1;ijzer;ijzer;0;4613;1375;a;2549;73;2;0
32905000;19;Nederlands;female;1;dood;1;ziek;ziek;1;3249;4921;a;6811;90;2;0
32905000;19;Nederlands;female;1;basket;1;bal;bal;1;4825;248;a;12365;78;2;0
32905000;19;Nederlands;female;1;bus;1;reis;reis;1;7568;6789;v;5146;71;2;0
32905000;19;Nederlands;female;2;schutter;0;boog;scherp;1;7485;4578;v;9267;37;2;1
32905000;19;Nederlands;female;1;brood;1;doos;doos;1;4896;4896;a;2488;67;2;1
32905000;19;Nederlands;female;1;kamp;1;vuur;vuur;1;1834;148;a;2854;73;2;0
32905000;19;Nederlands;female;2;dorp;0;berg;plaats;0;5463;1234;v;11669;45;2;0
32905000;19;Nederlands;female;2;olie;1;sla;sla;0;8659;8934;v;11557;32;2;0
32905000;19;Nederlands;female;1;sport;1;zak;zak;1;4293;9345;a;3304;92;2;0
32905000;19;Nederlands;female;1;spiegel;1;beeld;beeld;1;4657;4567;a;6105;80;2;1
32905000;19;Nederlands;female;1;worm;1;regen;regen;0;9835;5478;v;4937;86;2;0
32905000;19;Nederlands;female;1;tijd;0;steen;draai;1;5498;4589;v;17852;36;2;1
32905000;19;Nederlands;female;1;kaart;1;bank;bank;1;8354;4589;v;4785;82;2;0
32905000;19;Nederlands;female;2;schaduw;0;oog;huis;1;7289;6789;v;21314;0;2;0
32905000;19;Nederlands;female;1;rozen;1;tuin;tuin;0;3854;5679;a;7663;100;2;0
32905000;19;Nederlands;female;1;rol;1;film;film;0;5128;1467;v;7159;100;2;0
32905000;19;Nederlands;female;2;galerij;0;kunst;foto;1;5396;1563;v;9138;25;2;0
