model,distance,variable,pearson_r,pearson_p,spearman_rho,spearman_p,n,p_adj_fdr
BGE-base,d_centroid,insight_rate,-0.2816554742191686,0.019050312141450292,-0.25722532809745374,0.03286867640299139,69,0.3172695997276193
BGE-base,d_centroid,mean_rt,0.2362455101387396,0.05066434654688157,0.24938343780993313,0.03878483034376924,69,0.3184616068661127
BGE-base,d_centroid,mean_conf,-0.2458304549825978,0.04174272458836883,-0.27565355601158026,0.021875075758762474,69,0.3172695997276193
BGE-base,d_centroid,accuracy,-0.2665346897537695,0.026844629503274757,-0.2584929622633032,0.03198721266671231,69,0.3172695997276193
BGE-small,d_centroid,insight_rate,-0.12994490154788968,0.2872362908937767,-0.08747122662859434,0.47480174049878576,69,0.6319198399663087
BGE-small,d_centroid,mean_rt,0.21042073850650225,0.08266256139945993,0.19497981332835812,0.1083869462934596,69,0.33065024559783973
BGE-small,d_centroid,mean_conf,-0.057968005899191356,0.6361277070699772,-0.09958165112460227,0.41558656012193146,69,0.8542330112695529
BGE-small,d_centroid,accuracy,-0.16954693531149131,0.16369848772372267,-0.17224338456558222,0.1570027312676514,69,0.4719341368918352
E5-base,d_centroid,insight_rate,-0.1664626936863537,0.1716124134152128,-0.11659176448280892,0.34005844512744965,69,0.4719341368918352
E5-base,d_centroid,mean_rt,0.003101909126296231,0.9798190863517849,0.0198944080122348,0.8711071313787647,69,0.9798190863517849
E5-base,d_centroid,mean_conf,-0.04984756597348443,0.6841890302317257,-0.07411534738809603,0.5450232369675868,69,0.8542330112695529
E5-base,d_centroid,accuracy,-0.22782829564245743,0.05973388536192121,-0.18769925042710986,0.12248533794988184,69,0.32853636949056664
E5-small,d_centroid,insight_rate,-0.13715913414079983,0.2610825101807143,-0.11131206847285409,0.3625221641052575,69,0.604612128839549
E5-small,d_centroid,mean_rt,0.05229638956116912,0.6695522746790195,0.07521145802237894,0.5390761137139772,69,0.8542330112695529
